location,off_nadir,score,capture_name,fwhm,gsd,metric,norm_score
dubai,0.2143425760906268,1.0,dubai_2025-04-20T07-09-41Z,,,SSIMLambda,0.0
dubai,0.5665776658921782,0.9892332553863524,dubai_2026-01-14T07-09-26Z,,,SSIMLambda,1.0766744613647572
dubai,2.5265323942139384,0.9838488101959229,dubai_2025-10-22T07-08-11Z,,,SSIMLambda,1.6151189804077148
dubai,4.732009053477448,0.9956733584403992,dubai_2025-04-02T07-07-41Z,,,SSIMLambda,0.432664155960083
dubai,6.876452844558942,0.9872164726257324,dubai_2026-01-13T07-06-25Z,,,SSIMLambda,1.2783527374267578
dubai,10.605193620227704,0.993070662021637,dubai_2026-02-18T07-13-33Z,,,SSIMLambda,0.6929337978363037
dubai,11.860109018463476,0.980760931968689,dubai_2025-10-21T07-04-20Z,,,SSIMLambda,1.9239068031311035
dubai,14.708624672150831,0.9832601547241212,dubai_2025-09-27T07-03-10Z,,,SSIMLambda,1.6739845275878795
dubai,15.27598290771012,0.9906051754951476,dubai_2025-09-30T07-15-40Z,,,SSIMLambda,0.9394824504852406
dubai,20.81395006854958,0.9843347668647766,dubai_2026-01-11T07-00-23Z,,,SSIMLambda,1.5665233135223389
dubai,23.766638091463605,0.976921319961548,dubai_2025-09-26T06-58-59Z,,,SSIMLambda,2.3078680038452037
dubai,29.41292529075343,0.9778029918670654,dubai_2026-05-11T07-22-15Z,,,SSIMLambda,2.219700813293457
dubai,52.16830690585457,0.956760048866272,dubai_2026-06-03T06-36-56Z,,,SSIMLambda,4.323995113372803
dubai,54.903387602659365,0.9548355340957642,dubai_2026-06-01T06-32-42Z,,,SSIMLambda,4.516446590423584
dubai,56.08538875263454,0.9529306888580322,dubai_2026-05-31T06-30-37Z,,,SSIMLambda,4.706931114196777
dubai,57.14531288789891,0.9497700333595276,dubai_2026-05-30T06-28-29Z,,,SSIMLambda,5.022996664047241
gobabeb,4.386148367593202,1.0,gobabeb_2025-09-11T09-19-48Z,,,SSIMLambda,0.0
gobabeb,9.32957756958669,0.985227346420288,gobabeb_2025-04-25T09-25-38Z,,,SSIMLambda,1.4772653579712025
gobabeb,12.341282537093283,0.9896073937416076,gobabeb_2025-08-01T09-26-45Z,,,SSIMLambda,1.0392606258392445
gobabeb,15.825887402843588,0.991342067718506,gobabeb_2025-04-23T09-15-12Z,,,SSIMLambda,0.865793228149403
gobabeb,19.857239880467816,0.9815526008605956,gobabeb_2025-04-08T09-30-22Z,,,SSIMLambda,1.8447399139404408
gobabeb,22.73453082533744,0.9920912384986876,gobabeb_2025-08-23T09-31-24Z,,,SSIMLambda,0.7908761501312367
gobabeb,29.327353889346263,0.975222647190094,gobabeb_2025-11-27T09-34-39Z,,,SSIMLambda,2.4777352809906006
gobabeb,31.00560924256732,0.9604501724243164,gobabeb_2025-04-27T09-36-02Z,,,SSIMLambda,3.9549827575683594
gobabeb,34.36043461586217,0.9695727825164796,gobabeb_2025-09-30T09-05-18Z,,,SSIMLambda,3.0427217483520397
gobabeb,35.323183194742256,0.9676434397697448,gobabeb_2025-06-17T09-04-45Z,,,SSIMLambda,3.235656023025524
gobabeb,35.683793210944366,0.979083776473999,gobabeb_2025-08-17T09-04-26Z,,,SSIMLambda,2.0916223526000977
nile,0.5196720335022527,1.0,nile_2025-12-12T08-37-17Z,,,SSIMLambda,0.0
nile,9.655983492202568,0.9943130612373352,nile_2025-10-21T08-40-57Z,,,SSIMLambda,0.5686938762664795
nile,12.531762682757112,0.9889518022537231,nile_2026-04-29T08-31-56Z,,,SSIMLambda,1.1048197746276855
nile,13.968119613523433,0.9847775101661682,nile_2025-09-25T08-31-27Z,,,SSIMLambda,1.5222489833831787
nile,15.09060166433961,0.9840041399002076,nile_2026-01-09T08-30-55Z,,,SSIMLambda,1.599586009979237
nile,19.107271942687973,0.9887985587120056,nile_2026-03-25T08-44-57Z,,,SSIMLambda,1.1201441287994385
nile,24.204199785002075,0.9831627011299132,nile_2026-02-17T08-47-24Z,,,SSIMLambda,1.683729887008678
nile,26.90485863820017,0.9838433265686036,nile_2025-10-17T08-25-23Z,,,SSIMLambda,1.6156673431396373
