location,off_nadir,score,capture_name,fwhm,gsd,metric,norm_score
nile,0.5196720335022527,1100.0284158911506,nile_2025-12-12T08-37-17Z,1.2568666227202807,875.2149162099001,GRD,1.0
nile,9.655983492202568,1061.8178607064797,nile_2025-10-21T08-40-57Z,1.2138968236529208,874.7183780506177,GRD,0.965264028971728
nile,12.531762682757112,1233.130873599477,nile_2026-04-29T08-31-56Z,1.4084816523840908,875.5036826444963,GRD,1.1209991085552984
nile,13.968119613523433,1267.5948101770105,nile_2025-09-25T08-31-27Z,1.449498278766571,874.5059092140843,GRD,1.1523291506520872
nile,15.09060166433961,1395.387730220536,nile_2026-01-09T08-30-55Z,1.597939402817451,873.2419563346517,GRD,1.268501531471903
nile,19.107271942687973,1392.3532506958293,nile_2026-03-25T08-44-57Z,1.590126712077931,875.6240871372713,GRD,1.2657429849826758
nile,24.204199785002075,1532.3485244461942,nile_2026-02-17T08-47-24Z,1.7583437095632215,871.4726910968018,GRD,1.3930081280716864
nile,26.90485863820017,1577.914517798053,nile_2025-10-17T08-25-23Z,1.811323518640591,871.1389774159654,GRD,1.4344306883379547
dubai,0.2143425760906268,706.8633026971703,dubai_2025-04-20T07-09-41Z,0.8073927586122706,875.4887818316723,GRD,1.0
dubai,0.5665776658921782,426.1000365480783,dubai_2026-01-14T07-09-26Z,0.4858517053639003,877.0166531142083,GRD,0.6028040144709921
dubai,2.5265323942139384,511.3261491308465,dubai_2025-10-22T07-08-11Z,0.5835103396079003,876.2932109728179,GRD,0.7233734544993142
dubai,6.876452844558942,608.6307199453623,dubai_2026-01-13T07-06-25Z,0.6941087428892304,876.8521160127366,GRD,0.8610302976870026
dubai,7.600900703557949,756.4196726148137,dubai_2025-03-16T07-06-35Z,0.8637906198881804,875.6979471630912,GRD,1.0701074305718683
dubai,10.605193620227704,427.4396468472873,dubai_2026-02-18T07-13-33Z,0.4873165848775603,877.1292833275575,GRD,0.6046991620817076
dubai,11.860109018463476,639.3051331129421,dubai_2025-10-21T07-04-20Z,0.7297541443882904,876.0555017455005,GRD,0.9044254110710696
dubai,14.708624672150831,408.4869820643942,dubai_2025-09-27T07-03-10Z,0.4668082716863203,875.0637185342849,GRD,0.5778868141912801
dubai,15.27598290771012,773.927141536719,dubai_2025-09-30T07-15-40Z,0.8823457603945404,877.1245653072077,GRD,1.0948752588847857
dubai,20.81395006854958,718.4816722465353,dubai_2026-01-11T07-00-23Z,0.8200883810639904,876.1027333595073,GRD,1.0164365153842798
dubai,23.766638091463605,378.00428761706473,dubai_2025-09-26T06-58-59Z,0.4316511633584803,875.7170597572036,GRD,0.5347629254124779
dubai,52.16830690585457,985.57576039973,dubai_2026-06-03T06-36-56Z,1.1494421250518807,857.438351109018,GRD,1.3942947054106214
dubai,54.903387602659365,1077.7988295115367,dubai_2026-06-01T06-32-42Z,1.2685856588295608,849.6066639330842,GRD,1.5247627446480698
dubai,56.08538875263454,969.8735572298071,dubai_2026-05-31T06-30-37Z,1.1355257696721108,854.1184913045729,GRD,1.3720807877974024
aquawatchcoral,2.403911333058025,761.9072058298826,aquawatchcoral_2025-08-19T02-47-59Z,0.8811250274664905,864.6981779879793,GRD,1.0
aquawatchcoral,4.273372386015921,767.8960749315575,aquawatchcoral_2025-09-09T02-45-44Z,0.8930882101613807,859.821086197968,GRD,1.0078603654826332
aquawatchcoral,8.420746689392601,891.6870160918352,aquawatchcoral_2025-04-22T02-44-14Z,1.0405527478698209,856.9359101854877,GRD,1.1703354545919986
aquawatchcoral,9.862093739552744,533.0396669347103,aquawatchcoral_2025-08-18T02-43-29Z,0.6264801386752604,850.8484691340145,GRD,0.6996123187391491
aquawatchcoral,11.017458543230736,719.5459656108245,aquawatchcoral_2025-07-30T02-52-01Z,0.8405966942552306,855.9942842130052,GRD,0.9444010505545521
aquawatchcoral,16.654913704413445,759.7668337765904,aquawatchcoral_2025-09-11T02-54-24Z,0.9011450474865104,843.112699665548,GRD,0.9971907706910832
aquawatchcoral,20.079684178066163,548.9650828954143,aquawatchcoral_2025-08-17T02-39-00Z,0.6438145462535704,852.67579940513,GRD,0.720514360141104
aquawatchcoral,21.374099786561857,1040.5677976302477,aquawatchcoral_2025-07-31T02-56-38Z,1.2734685905417609,817.1130449221113,GRD,1.3657408535687008
aquawatchcoral,25.78236308644917,831.7856415703687,aquawatchcoral_2025-09-12T02-58-44Z,0.9917234307478208,838.727427205336,GRD,1.0917151527191207
aquawatchcoral,26.39621490682662,1070.4944495292605,aquawatchcoral_2025-03-21T02-59-32Z,1.2278131790326907,871.8707925684826,GRD,1.4050194581940714
aquawatchcoral,26.52257241099425,702.5541434224461,aquawatchcoral_2026-05-06T02-35-49Z,0.8281452183891206,848.3465554374995,GRD,0.9220993554683761
aquawatchcoral,30.626609019615767,763.2527869550407,aquawatchcoral_2025-07-26T02-33-34Z,0.8916233306477206,856.0260378119256,GRD,1.001766069561834
aquawatchcoral,31.698753195597888,867.4076909575746,aquawatchcoral_2026-03-25T02-33-03Z,1.031275177616641,841.1020741934495,GRD,1.1384689425699537
aquawatchcoral,32.16552947549784,747.4797942397645,aquawatchcoral_2025-10-22T02-32-33Z,0.8918674772333305,838.1063479952511,GRD,0.9810640830277966
aquawatchcoral,33.64900103027958,1048.6754928069215,aquawatchcoral_2025-05-27T02-31-46Z,1.8310993920750016,572.702660131716,GRD,1.3763821693544502
aquawatchcoral,35.73055035706529,975.0351969612168,aquawatchcoral_2025-03-16T02-30-35Z,1.364046973803071,714.8105715470645,GRD,1.279729591084772
